policy,cycle,latency_ms,tier
fixed_t1,760,14.645219,1
fixed_t1,761,7.921779,1
fixed_t1,762,7.939796,1
fixed_t1,763,5.093201,1
fixed_t1,764,7.404830,1
fixed_t1,765,8.621329,1
fixed_t1,766,5.024687,1
fixed_t1,767,6.642432,1
fixed_t1,768,6.140381,1
fixed_t1,769,9.297195,1
fixed_t1,770,14.969296,1
fixed_t1,771,6.534378,1
fixed_t1,772,6.468528,1
fixed_t1,773,13.480638,1
fixed_t1,774,8.900152,1
fixed_t1,775,4.076875,1
fixed_t1,776,12.653751,1
fixed_t1,777,15.421745,1
fixed_t1,778,6.972024,1
fixed_t1,779,6.288615,1
fixed_t1,780,10.275386,1
fixed_t1,781,4.299632,1
fixed_t1,782,9.428037,1
fixed_t1,783,7.535866,1
fixed_t1,784,6.500473,1
fixed_t1,785,11.825900,1
fixed_t1,786,6.366126,1
fixed_t1,787,5.687505,1
fixed_t1,788,10.033841,1
fixed_t1,789,10.486113,1
fixed_t1,790,5.495329,1
fixed_t1,791,2.167842,1
fixed_t1,792,12.906469,1
fixed_t1,793,13.328369,1
fixed_t1,794,2.296240,1
fixed_t1,795,11.831930,1
fixed_t1,796,8.691747,1
fixed_t1,797,5.798779,1
fixed_t1,798,6.530366,1
fixed_t1,799,7.917397,1
fixed_t1,800,13.822661,1
fixed_t1,801,10.318012,1
fixed_t1,802,14.166686,1
fixed_t1,803,8.563349,1
fixed_t1,804,5.155786,1
fixed_t1,805,6.526578,1
fixed_t1,806,5.300928,1
fixed_t1,807,23.790901,1
fixed_t1,808,9.472423,1
fixed_t1,809,8.794445,1
fixed_t1,810,15.820771,1
fixed_t1,811,5.315149,1
fixed_t1,812,8.722346,1
fixed_t1,813,5.686146,1
fixed_t1,814,11.174942,1
fixed_t1,815,4.785339,1
fixed_t1,816,6.642761,1
fixed_t1,817,10.276481,1
fixed_t1,818,4.377535,1
fixed_t1,819,7.729862,1
fixed_t1,820,7.458628,1
fixed_t1,821,9.167545,1
fixed_t1,822,7.117663,1
fixed_t1,823,9.268426,1
fixed_t1,824,3.493432,1
fixed_t1,825,18.135370,1
fixed_t1,826,11.636108,1
fixed_t1,827,6.552709,1
fixed_t1,828,9.789049,1
fixed_t1,829,14.178089,1
fixed_t1,830,7.972887,1
fixed_t1,831,9.551980,1
fixed_t1,832,14.781122,1
fixed_t1,833,10.224418,1
fixed_t1,834,8.908816,1
fixed_t1,835,8.145191,1
fixed_t1,836,6.662996,1
fixed_t1,837,7.124615,1
fixed_t1,838,5.421351,1
fixed_t1,839,4.687651,1
fixed_t1,840,7.221603,1
fixed_t1,841,13.965569,1
fixed_t1,842,9.719460,1
fixed_t1,843,7.825478,1
fixed_t1,844,9.120889,1
fixed_t1,845,11.300533,1
fixed_t1,846,13.069761,1
fixed_t1,847,10.608325,1
fixed_t1,848,12.530865,1
fixed_t1,849,7.148829,1
fixed_t1,850,24.624192,1
fixed_t1,851,11.991991,1
fixed_t1,852,9.365318,1
fixed_t1,853,4.649869,1
fixed_t1,854,9.446889,1
fixed_t1,855,5.613274,1
fixed_t1,856,9.594751,1
fixed_t1,857,8.027608,1
fixed_t1,858,5.853851,1
fixed_t1,859,6.527334,1
fixed_t1,860,9.217021,1
fixed_t1,861,5.134808,1
fixed_t1,862,6.875653,1
fixed_t1,863,6.938917,1
fixed_t1,864,7.854193,1
fixed_t1,865,8.971371,1
fixed_t1,866,9.983170,1
fixed_t1,867,8.029140,1
fixed_t1,868,7.449852,1
fixed_t1,869,7.202106,1
